原始文本,分词结果,发布时间,标题
榫卯凹凸相契，象征天地之合。以墨山道现世为契机，我们与传统木工榫卯技艺非物质文化遗产代表性传承人——辛全生大师合作呈现墨家机巧“木鸢”。以榫卯之精巧，领略匠人传承。于寸木之中，见天地，见匠心。《燕云十六声》全新篇章「不见山」现已上线，诚邀诸位游侠，入山一聚！。 —— 非遗大师辛全生丨小木匠巧拜墨家师老师傅竟是新燕来__,《 非遗 大师 辛全生 丨 小木匠 巧 拜 墨家 师 老师傅 竟是 新燕 来 》 : 榫卯 凹凸 相契 ， 象征 天地 之 合 。 以 墨山道 现世 为 契机 ， 我们 与 传统 木工 榫卯 技艺 非物质文化遗产 代表性 传承人 —— 辛全生 大师 合作 呈现 墨家 机巧 “ 木鸢 ” 。 以 榫卯 之 精巧 ， 领略 匠人 传承 。 于 寸木 之中 ， 见 天地 ， 见 匠心 。 《 燕云十六声 》 全新 篇章 「 不见山 」 现 已 上线 ， 诚 邀 诸位 游侠 ， 入 山 一 聚 ！,2025-09,非遗大师辛全生丨小木匠巧拜墨家师 老师傅竟是新燕来
自古以来，“山”便寄托着无数哲思与想象。它能养育生灵，能暗藏玄机，每更上一步，都是新的风景。我们和《科学追光者》展开特别联动，携手地质学家刘嘉麒院士，通过一个关于“山”的故事和追问，领略地质学的魅力。。 —— 此行问山丨和刘嘉麒老师一起领略“山”的魅力__,《 此行 问 山 丨 和 刘嘉麒 老师 一起 领略 “ 山 ” 的 魅力 》 : 自古以来 ， “ 山 ” 便 寄托 着 无数 哲思 与 想象 。 它 能 养育 生灵 ， 能 暗藏 玄机 ， 每 更 上 一 步 ， 都是 新 的 风景 。 我们 和 《 科学 追光者 》 展开 特别 联动 ， 携手 地质学家 刘嘉麒 院士 ， 通过 一个 关于 “ 山 ” 的 故事 和 追问 ， 领略 地质学 的 魅力 。,2025-09,此行问山丨和刘嘉麒老师一起领略“山”的魅力
9.22版本前瞻小会回看。由特约主持天涯客、燕叽，串场嘉宾容鸢联合播报！我行山川异，忽在天一方。【不见山】即将现世，期待与游侠们相见！。 —— 进山前的小聚会丨『我行山川异』版本前瞻_,《 进山 前 的 小 聚会 丨 『 我 行 山川 异 』 版本 前瞻 _ 》 : 9.22 版本 前瞻 小会 回看 。 由 特约 主持 天涯客 、 燕叽 ， 串场 嘉宾 容鸢 联合 播报 ！ 我 行 山川 异 ， 忽 在 天 一方 。 【 不见山 】 即将 现世 ， 期待 与 游侠 们 相见 ！,2025-09,进山前的小聚会丨『我行山川异』版本前瞻
桃源何处寻，今朝始见山。年轻侠客眼前，是隐逸奇景与追觅之路。求索求真，智慧与执着终会构成流传至今的侠道精神。，《燕云十六声》全新篇章「不见山」即将开启，待与游侠入山一会！(部分画面取材自新闻素材)。 —— 我行山川异|全新篇章「不见山」即将上线！_,《 我 行 山川 异 | 全新 篇章 「 不见山 」 即将 上线 ！ _ 》 : 桃源 何处 寻 ， 今朝 始 见 山 。 年轻 侠客 眼前 ， 是 隐逸 奇景 与 追觅 之 路 。 求索 求 真 ， 智慧 与 执着 终 会 构成 流传 至今 的 侠道 精神 。 ， 《 燕云十六声 》 全新 篇章 「 不见山 」 即将 开启 ， 待 与 游侠 入 山 一 会 ！ ( 部分 画面 取材 自 新闻 素材 ),2025-09,我行山川异 | 全新篇章「不见山」即将上线！
一叶离宫墙，千卷赴百校。燕云十六声联合扬帆计划，在故宫博物院百年之际赠书百校，此次公益捐赠故宫小书包系列书籍至12省20个城市的乡村学校，让传统文化和历史通过书籍传承。。 —— 燕影侠迹|故宫小书包公益项目，敬谢游侠！__,《 燕影 侠迹 | 故宫 小 书包 公益 项目 ， 敬谢 游侠 ！ 》 : 一 叶 离 宫墙 ， 千卷 赴 百 校 。 燕云十六声 联合 扬帆 计划 ， 在 故宫博物院 百年 之际 赠书 百 校 ， 此次 公益 捐赠 故宫 小 书包 系列 书籍 至 12 省 20个 城市 的 乡村 学校 ， 让 传统 文化 和 历史 通过 书籍 传承 。,2025-09,燕影侠迹 | 故宫小书包公益项目，敬谢游侠！
乞巧佳节，与侠相会。秦川着墨，前路契阔——后续版本【不见山】概念首曝，期待与游侠们相见！。 —— 特约小叙丨乞巧佳节，初探「不见山」__,《 特约 小叙 丨 乞巧 佳节 ， 初 探 「 不见山 」 》 : 乞巧 佳节 ， 与 侠 相会 。 秦川 着墨 ， 前路 契阔 —— 后续 版本 【 不见山 】 概念 首曝 ， 期待 与 游侠 们 相见 ！,2025-08,特约小叙丨乞巧佳节，初探「不见山」
『这一程，路漫漫，莫回看，有明月照我还。』随着河西最后一个区域“秦川”的开放，燕云十六声与知名歌唱家谭晶合作的河西剧情概念曲《归舟》正式上线，回首此行，游侠走过了时间的风沙和人间的聚散，无论身在何方，总有一宵明月长悬心上。《归舟》音频纯享版已上架网易云音乐，欢迎收听！演唱：谭晶作曲/编曲/制作人：jannik作词：沃特艾文儿笛箫：丁晓逵二胡：王颖弦乐：国际首席爱乐乐团录音棚：金田录音棚混音：李宗远@studio21a母带：周天澈@studio21a出品：燕云十六声。 —— 《归舟》群像mv丨谭晶唯美献唱河西剧情概念曲__,《 《 归舟 》 群像 MV 丨 谭晶 唯美 献唱 河西 剧情 概念曲 》 : 『 这 一 程 ， 路 漫漫 ， 莫 回 看 ， 有 明月 照 我 还 。 』 随着 河西 最后 一个 区域 “ 秦川 ” 的 开放 ， 燕云十六声 与 知名 歌唱家 谭晶 合作 的 河西 剧情 概念曲 《 归舟 》 正式 上线 ， 回首 此行 ， 游侠 走过 了 时间 的 风沙 和 人间 的 聚散 ， 无论 身 在 何方 ， 总 有 一宵 明月 长 悬 心 上 。 《 归舟 》 音频 纯享版 已 上架 网易云 音乐 ， 欢迎 收听 ！ 演唱 ： 谭晶 作曲 / 编曲 / 制作人 ： jannik 作词 ： 沃特艾文儿 笛箫 ： 丁晓逵 二胡 ： 王颖 弦乐 ： 国际首席爱乐乐团 录音棚 ： 金田 录音棚 混音 ： 李宗远 @ studio21a 母带 ： 周天澈 @ studio21a 出品 ： 燕云十六声,2025-08,《归舟》群像MV丨谭晶唯美献唱河西剧情概念曲
长风归于朗月，故乡似已不远。遍历了玉门飞沙和凉州风雪，看过了人心翻覆与世事苍茫，游侠的河西行旅已近尾声。越过大散关天堑，一幅壮阔的画卷即将展开。。 —— 归来明月满秦川|河西新区域「秦川」即将上线！_游戏热门视频,《 归来 明月 满 秦川 | 河西 新 区域 「 秦川 」 即将 上线 ！ _ 游戏 热门 视频 》 : 长风 归于 朗月 ， 故乡 似 已 不 远 。 遍历 了 玉门 飞沙 和 凉州 风雪 ， 看 过 了 人心 翻覆 与 世事 苍茫 ， 游侠 的 河西 行旅 已 近 尾声 。 越过 大散关 天堑 ， 一 幅 壮阔 的 画卷 即将 展开 。,2025-08,归来明月满秦川 | 河西新区域「秦川」即将上线！_游戏热门视频
燕叽携手中华社会救助基金会【银天使计划公益项目】，以全体游侠之名，为甘肃兰州、武威等地区的孤寡/特困老人提供了定向帮扶，共行善举。这份源自游戏的侠义精神，如今也在现实中收到回响。完成过「探游——有椒其馨，胡考其宁」的游侠们近日登录游戏时，还将邂逅一份江湖暖意。游侠们的善意，让凉州烫菜摊升腾的不仅是热气，更是人间温情。期待与游侠们一起，让温暖延续！。 —— 燕影侠迹|银天使计划公益项目，敬谢游侠！__,《 燕影 侠迹 | 银 天使 计划 公益 项目 ， 敬谢 游侠 ！ 》 : 燕叽 携手 中华社会救助基金会 【 银天使 计划 公益 项目 】 ， 以 全体 游侠 之 名 ， 为 甘肃 兰州 、 武威 等 地区 的 孤寡 / 特困 老人 提供 了 定向 帮扶 ， 共 行 善举 。 这 份 源自 游戏 的 侠义 精神 ， 如今 也 在 现实 中 收到 回响 。 完成 过 「 探游 —— 有 椒 其 馨 ， 胡 考 其 宁 」 的 游侠 们 近日 登录 游戏 时 ， 还 将 邂逅 一 份 江湖 暖意 。 游侠 们 的 善意 ， 让 凉州 烫菜摊 升腾 的 不仅 是 热气 ， 更 是 人间 温情 。 期待 与 游侠 们 一起 ， 让 温暖 延续 ！,2025-08,燕影侠迹 | 银天使计划公益项目，敬谢游侠！
-4日，《燕云十六声》参展2025chinajoy，与诸位游侠，举杯邀月，侠声共聚！。 —— chinajoy2025|故友新识，侠思寄月明_,《 ChinaJoy2025 | 故友 新 识 ， 侠思 寄 月 明 _ 》 : - 4日 ， 《 燕云十六声 》 参展 2025chinajoy ， 与 诸位 游侠 ， 举杯 邀月 ， 侠声 共聚 ！,2025-08,ChinaJoy2025 | 故友新识，侠思寄月明
唐横刀，被称为冷兵器的巅峰之作，现已在燕云暑期版本中正式登场！我们也有幸与知名演员、影后惠英红老师携手合作。她将作为燕云武学宗师，为大家呈现唐横刀武学的独特魅力，并将这把英雄之刃交付游侠之手。问刀，即是问心。锋刃出鞘，见证各位游侠的武者之心！。 —— 鸣刀问心丨惠英红手持唐横刀，锋刃出鞘与游侠江湖相会！_游戏热门视频,《 鸣刀问心 丨 惠英红 手持 唐横刀 ， 锋刃 出鞘 与 游侠 江湖 相会 ！ _ 游戏 热门 视频 》 : 唐横刀 ， 被 称为 冷兵器 的 巅峰 之 作 ， 现 已 在 燕云 暑期 版本 中 正式 登场 ！ 我们 也 有幸 与 知名 演员 、 影后 惠英红 老师 携手 合作 。 她 将 作为 燕云 武学 宗师 ， 为 大家 呈现 唐横刀 武学 的 独特 魅力 ， 并 将 这 把 英雄 之 刃 交付 游侠 之 手 。 问 刀 ， 即 是 问 心 。 锋刃 出 鞘 ， 见证 各位 游侠 的 武者 之 心 ！,2025-07,鸣刀问心丨惠英红手持唐横刀，锋刃出鞘与游侠江湖相会！_游戏热门视频
千古重屏，公子何处？若非出生帝王家，不同时空中的“词帝”李煜会又有哪些可能性？我们联合故宫文化，以“折叠时空的古画”——绘于五代时期的《重屏会棋图》为灵感，将画卷呈现在游戏中。并邀请来自书画/武术/舞蹈/农业的四位老师跨界合作，共绘不同时空中李煜的人生可能性，探寻隐藏其中的“公子”踪迹。希望通过本次合作，让这卷展现了时空精妙转换的古画，再次突破时空限制，透过屏幕，以更鲜活的方式被大家“看见”。特别鸣谢故宫博物院书画部研究馆员马顺平亚运会武术冠军常志昭青年舞者张翰中国农业大学副教授申思。 —— 《重屏会棋图》｜千年古画折叠时空寻访公子踪迹,《 《 重屏 会棋 图 》 ｜ 千年 古 画 折叠 时空 寻访 公子 踪迹 》 : 千古 重屏 ， 公子 何处 ？ 若非 出生 帝王 家 ， 不同 时空 中 的 “ 词帝 ” 李煜 会 又 有 哪些 可能性 ？ 我们 联合 故宫 文化 ， 以 “ 折叠 时空 的 古 画 ” —— 绘 于 五代 时期 的 《 重屏 会棋 图 》 为 灵感 ， 将 画卷 呈现 在 游戏 中 。 并 邀请 来自 书画 / 武术 / 舞蹈 / 农业 的 四位 老师 跨界 合作 ， 共 绘 不同 时空 中 李煜 的 人生 可能性 ， 探寻 隐藏 其中 的 “ 公子 ” 踪迹 。 希望 通过 本 次 合作 ， 让 这 卷 展现 了 时空 精妙 转换 的 古 画 ， 再次 突破 时空 限制 ， 透过 屏幕 ， 以 更 鲜活 的 方式 被 大家 “ 看见 ” 。 特别 鸣谢 故宫博物院书画部 研究馆员 马顺平 亚运会 武术 冠军 常志昭 青年 舞者 张翰 中国农业大学 副教授 申思,2025-07,《重屏会棋图》｜千年古画折叠时空 寻访公子踪迹
暑气攀升，侠与盛夏。，《燕云十六声》首个暑期版本上线。全新“家业”由少东家作主，重见亦是重建；新刃出鞘，“唐横刀”威锋既出；暗流涌动，“开封镇守”再起波澜。君自故乡来，静候少东家！。 —— 暑期版本｜重建不羡仙，由侠当家作主,《 暑期 版本 ｜ 重建 不羡仙 ， 由 侠 当家作主 》 : 暑气 攀升 ， 侠 与 盛夏 。 ， 《 燕云十六声 》 首个 暑期 版本 上线 。 全新 “ 家业 ” 由 少东家 作主 ， 重 见 亦 是 重建 ； 新 刃 出 鞘 ， “ 唐横刀 ” 威锋 既 出 ； 暗流 涌动 ， “ 开封 镇守 ” 再 起 波澜 。 君 自 故乡 来 ， 静候 少东家 ！,2025-07,暑期版本｜重建不羡仙，由侠当家作主
当国乐行走在凉州中，会听见怎样的声音？燕云十六声和来自中央民族乐团的艺术家们合作，根据古曲《凉州》概念改编、融入凉州地图原声，演奏出这曲《凉州歌》。游侠们也将在游戏内与它相遇，看古今音乐家以曲调为引的灵魂碰撞。今朝闻奏凉州歌，你我皆是曲中人。二胡金玥笛箫丁晓逵筚篥张佳理琵琶孟霄古筝缪青琵琶李宗励大阮朱承梓中阮齐闻多打击乐衣钰良二胡牛芊茜作曲李尚谦编曲李尚谦/杜漠（特邀）/刘天琪（特邀）协调/统筹金茹鑫。 —— 闻奏凉州歌｜中央民族乐团艺术家合作曲,《 闻 奏 凉州歌 ｜ 中央民族乐团 艺术家 合作曲 》 : 当 国乐 行走 在 凉州 中 ， 会 听见 怎样 的 声音 ？ 燕云十六声 和 来自 中央民族乐团 的 艺术家 们 合作 ， 根据 古曲 《 凉州 》 概念 改编 、 融入 凉州 地图 原声 ， 演奏 出 这 曲 《 凉州 歌 》 。 游侠 们 也 将 在 游戏 内 与 它 相遇 ， 看 古今 音乐家 以 曲调 为 引 的 灵魂 碰撞 。 今朝 闻 奏 凉州 歌 ， 你 我 皆 是 曲 中 人 。 二胡 金玥 笛箫 丁晓逵 筚篥 张佳理 琵琶 孟霄 古筝 缪青 琵琶 李宗励 大阮 朱承梓 中 阮齐闻 多 打击 乐 衣钰良 二胡 牛芊茜 作曲 李尚谦 编曲 李尚谦 / 杜漠 （ 特邀 ） / 刘天琪 （ 特邀 ） 协调 / 统筹 金茹鑫,2025-06,闻奏凉州歌｜中央民族乐团艺术家合作曲
-18日，《燕云十六声》参展cp31同人展，舆图为引，棉花为信，军令为号，与现场的少东家们一起，重返河西玉门。有幸与亲临的少东家们，共造这两日的限定回忆。。 —— 燕云cp31｜燕云的「家」，是每一位少东家_游戏热门视频,《 燕云 CP31 ｜ 燕云 的 「 家 」 ， 是 每 一 位 少东家 _ 游戏 热门 视频 》 : - 18日 ， 《 燕云十六声 》 参展 cp31 同人展 ， 舆图 为 引 ， 棉花 为 信 ， 军令 为 号 ， 与 现场 的 少东家 们 一起 ， 重返 河西 玉门 。 有幸 与 亲临 的 少东家们 ， 共 造 这 两日 的 限定 回忆 。,2025-05,燕云CP31｜燕云的「家」，是每一位少东家_游戏热门视频
自古以来，凉州就是连通西域与汉家的门扉。上百年的战争与商贸催生出了独特的风土人情，让这里变成故事发生的绝佳舞台。关乎荣耀、使命、自由、生死……当故事交织在这里，即是属于凉州的百年孤独。，《燕云十六声》新版本「悠悠凉州彻」即将上线。且待游侠亲自翻开新篇，直面凉州的风雪与剑光！。 —— 悠悠凉州彻|河西新篇章「凉州」即将上线！_游戏热门视频,《 悠悠 凉州 彻 | 河西 新篇章 「 凉州 」 即将 上线 ！ _ 游戏 热门 视频 》 : 自古以来 ， 凉州 就 是 连通 西域 与 汉家 的 门扉 。 上百年 的 战争 与 商贸 催生 出 了 独特 的 风土人情 ， 让 这里 变成 故事 发生 的 绝佳 舞台 。 关乎 荣耀 、 使命 、 自由 、 生死 …… 当 故事 交织 在 这里 ， 即 是 属于 凉州 的 百年 孤独 。 ， 《 燕云十六声 》 新版本 「 悠悠 凉州 彻 」 即将 上线 。 且 待 游侠 亲自 翻开 新篇 ， 直面 凉州 的 风雪 与 剑光 ！,2025-05,悠悠凉州彻 | 河西新篇章「凉州」即将上线！_游戏热门视频
张议潮和归义军以其坚韧精神，用20年收复河西，以故土归故国。敦煌画院为燕云十六声绘制了《张议潮统军出行图》摹本（局部），植入到游戏中，将他们的生平徐徐展开。长安夜里须发皆白的老者，是否也正在思念，沙州故土的那轮明月？。 —— 丹青溯梦，幽幽凉州｜敦煌画院联动幕后,《 丹青 溯 梦 ， 幽幽 凉州 ｜ 敦煌画院 联动 幕后 》 : 张议潮 和 归义军 以 其 坚韧 精神 ， 用 20年 收复 河西 ， 以 故土 归 故国 。 敦煌画院 为 燕云十六声 绘制 了 《 张议潮 统军 出行 图 》 摹本 （ 局部 ） ， 植入 到 游戏 中 ， 将 他们 的 生平 徐徐 展开 。 长安 夜里 须发 皆 白 的 老者 ， 是否 也 正在 思念 ， 沙州 故土 的 那 轮 明月 ？,2025-05,丹青溯梦，幽幽凉州｜敦煌画院联动幕后
只用这招，天下无敌。。 —— 新奇术·黄金膝|不日上线，敬请期待_游戏热门视频,《 新 奇术 · 黄金膝 | 不日 上线 ， 敬请 期待 _ 游戏 热门 视频 》 : 只 用 这 招 ， 天下 无敌 。,2025-04,新奇术·黄金膝 | 不日上线，敬请期待_游戏热门视频
